Maine December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192209,1.67,-2.02
192210,2.84,-0.86
192211,2.16,-1.73
192212,2.74,-0.79
192301,4.98,1.68
192302,1.68,-1.10
192303,3.65,0.33
192304,5.98,2.63
192305,1.85,-1.54
192306,2.70,-1.04
192307,3.39,-0.40
192308,2.66,-0.85
192309,2.22,-1.47
192310,3.54,-0.16
192311,3.76,-0.13
192312,3.35,-0.18
192401,3.54,0.24
192402,2.14,-0.64
192403,1.35,-1.97
192404,4.72,1.37
192405,3.57,0.18
192406,1.91,-1.83
192407,2.99,-0.80
192408,3.89,0.38
192409,4.81,1.12
192410,0.91,-2.79
192411,3.25,-0.64
192412,2.14,-1.39
192501,2.91,-0.39
192502,2.99,0.21
192503,4.16,0.84
192504,1.58,-1.77
192505,2.06,-1.33
192506,5.23,1.49
192507,3.85,0.06
192508,1.73,-1.78
192509,5.17,1.48
192510,6.23,2.53
192511,4.59,0.70
192512,2.69,-0.84
192601,3.13,-0.17
192602,3.07,0.29
192603,2.65,-0.67
192604,2.84,-0.51
192605,2.19,-1.20
192606,3.01,-0.73
192607,2.57,-1.22
192608,3.77,0.26
192609,3.43,-0.26
192610,5.07,1.37
192611,5.23,1.34
192612,2.71,-0.82
192701,3.00,-0.30
192702,2.98,0.20
192703,1.39,-1.93
192704,1.35,-2.00
192705,4.76,1.37
192706,2.61,-1.13
192707,4.18,0.39
192708,4.97,1.46
192709,2.20,-1.49
192710,6.20,2.50
192711,6.72,2.83
192712,5.24,1.71
192801,3.55,0.25
192802,2.08,-0.70
192803,2.55,-0.77
192804,4.00,0.65
192805,4.64,1.25
192806,3.59,-0.15
192807,3.88,0.09
192808,4.06,0.55
192809,4.18,0.49
192810,3.32,-0.38
192811,2.50,-1.39
192812,3.50,-0.03
192901,3.76,0.46
192902,2.09,-0.69
192903,2.82,-0.50
192904,4.73,1.38
192905,4.50,1.11
192906,2.86,-0.88
192907,2.34,-1.45
192908,2.84,-0.67
192909,2.01,-1.68
192910,3.33,-0.37
192911,2.55,-1.34
192912,3.72,0.19
193001,3.14,-0.16
193002,1.86,-0.92
193003,5.77,2.45
193004,1.66,-1.69
193005,3.84,0.45
193006,3.37,-0.37
193007,4.13,0.34
193008,3.25,-0.26
193009,2.48,-1.21
193010,2.69,-1.01
193011,2.96,-0.93
193012,2.00,-1.53
193101,2.88,-0.42
193102,1.93,-0.85
193103,2.81,-0.51
193104,2.63,-0.72
193105,3.56,0.17
193106,4.62,0.88
193107,5.21,1.42
193108,3.64,0.13
193109,5.01,1.32
193110,5.12,1.42
193111,1.36,-2.53
193112,3.06,-0.47
193201,3.65,0.35
193202,1.91,-0.87
193203,3.81,0.49
193204,3.23,-0.12
193205,2.24,-1.15
193206,2.07,-1.67
193207,4.34,0.55
193208,4.38,0.87
193209,6.31,2.62
193210,3.73,0.03
193211,4.32,0.43
193212,1.74,-1.79
193301,2.49,-0.81
193302,2.74,-0.04
193303,3.64,0.32
193304,4.96,1.61
193305,2.75,-0.64
193306,3.06,-0.68
193307,3.45,-0.34
193308,3.85,0.34
193309,3.70,0.01
193310,5.19,1.49
193311,2.86,-1.03
193312,3.78,0.25
193401,3.10,-0.20
193402,2.91,0.13
193403,2.39,-0.93
193404,4.81,1.46
193405,1.79,-1.60
193406,4.70,0.96
193407,3.99,0.20
193408,2.24,-1.27
193409,5.43,1.74
193410,2.66,-1.04
193411,3.49,-0.40
193412,3.21,-0.32
193501,6.71,3.41
193502,2.25,-0.53
193503,1.81,-1.51
193504,3.18,-0.17
193505,2.02,-1.37
193506,5.52,1.78
193507,3.27,-0.52
193508,2.39,-1.12
193509,4.34,0.65
193510,1.22,-2.48
193511,4.93,1.04
193512,1.97,-1.56
193601,6.50,3.20
193602,2.77,-0.01
193603,7.11,3.79
193604,4.18,0.83
193605,4.15,0.76
193606,3.51,-0.23
193607,3.11,-0.68
193608,2.85,-0.66
193609,3.36,-0.33
193610,5.14,1.44
193611,2.50,-1.39
193612,5.52,1.99
193701,3.47,0.17
